Record,Specimen_ID,User_ID,Algorithm_Estimate_mm,Adjusted_Estimate_mm,Hand_Measurement_mm,Algorithm_Total_Error_mm,Adjusted_Total_Error_mm,Algorithm_Percent_Error,Adjusted_Percent_Error,Included
790,90,8,1319.8,163.1,156,1163.8,7.1,746.03,4.55,no
960,60,10,133.7,123.7,130,3.7,-6.3,2.85,-4.85,yes
1160,60,12,133.7,122.2,130,3.7,-7.8,2.85,-6,yes
1461,61,15,133.7,133.7,125,8.7,8.7,6.96,6.96,yes
794,94,8,132,120.6,128,4,-7.4,3.13,-5.78,no
795,95,8,558.3,127.2,128,430.3,-0.8,336.17,-0.62,no
2361,61,24,133.7,133.7,125,8.7,8.7,6.96,6.96,yes
2461,61,25,133.7,133.7,125,8.7,8.7,6.96,6.96,yes
861,61,9,133.7,132.5,125,8.7,7.5,6.96,6,yes
961,61,10,133.7,132.5,125,8.7,7.5,6.96,6,yes
61,61,1,133.7,132.4,125,8.7,7.4,6.96,5.92,yes
1861,61,19,133.7,131.5,125,8.7,6.5,6.96,5.2,yes
1261,61,13,133.7,130.8,125,8.7,5.8,6.96,4.64,yes
1661,61,17,133.7,130.8,125,8.7,5.8,6.96,4.64,yes
161,61,2,133.7,128.4,125,8.7,3.4,6.96,2.72,yes
761,61,8,133.7,128.3,125,8.7,3.3,6.96,2.64,yes
2261,61,23,133.7,127.9,125,8.7,2.9,6.96,2.32,yes
1761,61,18,133.7,127.1,125,8.7,2.1,6.96,1.68,yes
1961,61,20,133.7,127.1,125,8.7,2.1,6.96,1.68,yes
809,9,9,136.2,129.5,125,11.2,4.5,8.96,3.6,no
361,61,4,133.7,126.9,125,8.7,1.9,6.96,1.52,yes
811,11,9,142.9,130.5,131,11.9,-0.5,9.08,-0.38,no
1361,61,14,133.7,126.2,125,8.7,1.2,6.96,0.96,yes
813,13,9,133.2,169.1,132,1.2,37.1,0.91,28.11,yes
913,13,10,133.2,167.6,132,1.2,35.6,0.91,26.97,yes
13,13,1,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
213,13,3,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
313,13,4,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
413,13,5,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
513,13,6,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
613,13,7,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
713,13,8,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1013,13,11,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1113,13,12,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1213,13,13,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
825,25,9,121.7,109.4,121,0.7,-11.6,0.58,-9.59,no
1313,13,14,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1413,13,15,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1613,13,17,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1713,13,18,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1813,13,19,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
1913,13,20,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
2013,13,21,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
2113,13,22,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
2213,13,23,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
835,35,9,136.2,127.4,125,11.2,2.4,8.96,1.92,no
2313,13,24,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
2413,13,25,133.2,133.2,132,1.2,1.2,0.91,0.91,yes
113,13,2,133.2,129.6,132,1.2,-2.4,0.91,-1.82,yes
839,39,9,129.2,133.5,120,9.2,13.5,7.67,11.25,no
840,40,9,173.3,124.4,152,21.3,-27.6,14.01,-18.16,no
841,41,9,135.8,161.2,135,0.8,26.2,0.59,19.41,no
1513,13,16,133.2,127.3,132,1.2,-4.7,0.91,-3.56,yes
1001,1,11,133.1,136.4,128,5.1,8.4,3.98,6.56,yes
844,44,9,157.5,113,145,12.5,-32,8.62,-22.07,no
845,45,9,141.1,149.2,146,-4.9,3.2,-3.36,2.19,no
501,1,6,133.1,134.8,128,5.1,6.8,3.98,5.31,yes
1101,1,12,133.1,134.7,128,5.1,6.7,3.98,5.23,yes
701,1,8,133.1,133.1,128,5.1,5.1,3.98,3.98,yes
1701,1,18,133.1,133.1,128,5.1,5.1,3.98,3.98,yes
2101,1,22,133.1,133.1,128,5.1,5.1,3.98,3.98,yes
2201,1,23,133.1,133.1,128,5.1,5.1,3.98,3.98,yes
852,52,9,143.9,122.4,141,2.9,-18.6,2.06,-13.19,no
801,1,9,133.1,132,128,5.1,4,3.98,3.13,yes
1801,1,19,133.1,131.9,128,5.1,3.9,3.98,3.05,yes
601,1,7,133.1,130.5,128,5.1,2.5,3.98,1.95,yes
401,1,5,133.1,129.5,128,5.1,1.5,3.98,1.17,yes
1901,1,20,133.1,127.9,128,5.1,-0.1,3.98,-0.08,yes
301,1,4,133.1,127,128,5.1,-1,3.98,-0.78,yes
901,1,10,133.1,125.5,128,5.1,-2.5,3.98,-1.95,yes
1,1,1,133.1,125.4,128,5.1,-2.6,3.98,-2.03,yes
1301,1,14,133.1,124.5,128,5.1,-3.5,3.98,-2.73,yes
1501,1,16,133.1,117.4,128,5.1,-10.6,3.98,-8.28,yes
14,14,1,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
864,64,9,121.8,117.1,130,-8.2,-12.9,-6.31,-9.92,no
114,14,2,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
214,14,3,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
314,14,4,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
414,14,5,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
614,14,7,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
714,14,8,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
871,71,9,151.1,123.1,147,4.1,-23.9,2.79,-16.26,no
1014,14,11,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
1214,14,13,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
874,74,9,229.3,147,146,83.3,1,57.05,0.68,no
875,75,9,146.6,119.7,110,36.6,9.7,33.27,8.82,no
876,76,9,153.7,132.4,126,27.7,6.4,21.98,5.08,no
1314,14,14,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
1414,14,15,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
1614,14,17,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
1714,14,18,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
881,81,9,195.4,149.7,120,75.4,29.7,62.83,24.75,no
882,82,9,165,140.7,165,0,-24.3,0,-14.73,no
1814,14,19,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
1914,14,20,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
2114,14,22,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
2214,14,23,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
887,87,9,122.5,123.9,119,3.5,4.9,2.94,4.12,no
888,88,9,123.9,141.6,163,-39.1,-21.4,-23.99,-13.13,no
2314,14,24,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
2414,14,25,132.7,132.7,135,-2.3,-2.3,-1.7,-1.7,yes
1114,14,12,132.7,131.6,135,-2.3,-3.4,-1.7,-2.52,yes
814,14,9,132.7,131.1,135,-2.3,-3.9,-1.7,-2.89,yes
914,14,10,132.7,131.1,135,-2.3,-3.9,-1.7,-2.89,yes
894,94,9,132,121.6,128,4,-6.4,3.13,-5,no
895,95,9,558.3,147.2,128,430.3,19.2,336.17,15,no
514,14,6,132.7,128.4,135,-2.3,-6.6,-1.7,-4.89,yes
1514,14,16,132.7,126.8,135,-2.3,-8.2,-1.7,-6.07,yes
853,53,9,132,142.7,130,2,12.7,1.54,9.77,yes
953,53,10,132,142.7,130,2,12.7,1.54,9.77,yes
1053,53,11,132,137.6,130,2,7.6,1.54,5.85,yes
1353,53,14,132,137.2,130,2,7.2,1.54,5.54,yes
902,2,10,129.8,124.4,125,4.8,-0.6,3.84,-0.48,no
1853,53,19,132,135.7,130,2,5.7,1.54,4.38,yes
753,53,8,132,133.8,130,2,3.8,1.54,2.92,yes
2353,53,24,132,133.7,130,2,3.7,1.54,2.85,yes
2253,53,23,132,133.3,130,2,3.3,1.54,2.54,yes
1153,53,12,132,132.8,130,2,2.8,1.54,2.15,yes
353,53,4,132,132.7,130,2,2.7,1.54,2.08,yes
909,9,10,136.2,126.9,125,11.2,1.9,8.96,1.52,no
653,53,7,132,132,130,2,2,1.54,1.54,yes
1453,53,15,132,130.9,130,2,0.9,1.54,0.69,yes
1753,53,18,132,128.8,130,2,-1.2,1.54,-0.92,yes
153,53,2,132,127.9,130,2,-2.1,1.54,-1.62,yes
53,53,1,132,124.9,130,2,-5.1,1.54,-3.92,yes
294,94,3,132,132,128,4,4,3.13,3.13,yes
1794,94,18,132,132,128,4,4,3.13,3.13,yes
2294,94,23,132,123.8,128,4,-4.2,3.13,-3.28,yes
994,94,10,132,123,128,4,-5,3.13,-3.91,yes
1094,94,11,132,122.5,128,4,-5.5,3.13,-4.3,yes
1894,94,19,132,121.7,128,4,-6.3,3.13,-4.92,yes
1394,94,14,132,120.5,128,4,-7.5,3.13,-5.86,yes
1994,94,20,132,119.2,128,4,-8.8,3.13,-6.88,yes
920,20,10,131.6,133.4,123,8.6,10.4,6.99,8.46,yes
720,20,8,131.6,131.2,123,8.6,8.2,6.99,6.67,yes
820,20,9,131.6,130.5,123,8.6,7.5,6.99,6.1,yes
620,20,7,131.6,126.4,123,8.6,3.4,6.99,2.76,yes
320,20,4,131.6,124.8,123,8.6,1.8,6.99,1.46,yes
56,56,1,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
156,56,2,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
256,56,3,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
931,31,10,124.1,114.2,115,9.1,-0.8,7.91,-0.7,no
356,56,4,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
456,56,5,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
556,56,6,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
656,56,7,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
756,56,8,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
1056,56,11,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
1156,56,12,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
939,39,10,129.2,135.5,120,9.2,15.5,7.67,12.92,no
1256,56,13,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
941,41,10,135.8,162.1,135,0.8,27.1,0.59,20.07,no
1456,56,15,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
1656,56,17,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
1756,56,18,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
945,45,10,141.1,149.7,146,-4.9,3.7,-3.36,2.53,no
946,46,10,113.1,140,110,3.1,30,2.82,27.27,no
1856,56,19,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
948,48,10,131,136.5,132,-1,4.5,-0.76,3.41,no
1956,56,20,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
2056,56,21,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
2156,56,22,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
2256,56,23,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
2356,56,24,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
2456,56,25,131.2,131.2,135,-3.8,-3.8,-2.81,-2.81,yes
955,55,10,130.3,136.8,130,0.3,6.8,0.23,5.23,no
1356,56,14,131.2,130,135,-3.8,-5,-2.81,-3.7,yes
956,56,10,131.2,128.4,135,-3.8,-6.6,-2.81,-4.89,yes
958,58,10,128.7,126.7,125,3.7,1.7,2.96,1.36,no
856,56,9,131.2,127.8,135,-3.8,-7.2,-2.81,-5.33,yes
1556,56,16,131.2,113.7,135,-3.8,-21.3,-2.81,-15.78,yes
12,12,1,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
112,12,2,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
312,12,4,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
512,12,6,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
612,12,7,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
712,12,8,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
1012,12,11,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
1212,12,13,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
1412,12,15,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
970,70,10,141,104.3,140,1,-35.7,0.71,-25.5,no
971,71,10,151.1,113.4,147,4.1,-33.6,2.79,-22.86,no
1612,12,17,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
973,73,10,280.5,154.5,137,143.5,17.5,104.74,12.77,no
1712,12,18,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
1912,12,20,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
976,76,10,153.7,132.5,126,27.7,6.5,21.98,5.16,no
2012,12,21,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
2112,12,22,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
979,79,10,139.1,125.2,129,10.1,-3.8,7.83,-2.95,no
980,80,10,152.6,123.1,128,24.6,-4.9,19.22,-3.83,no
981,81,10,195.4,171.3,120,75.4,51.3,62.83,42.75,no
982,82,10,165,132.4,165,0,-32.6,0,-19.76,no
2212,12,23,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
2312,12,24,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
2412,12,25,131.2,131.2,130,1.2,1.2,0.92,0.92,yes
812,12,9,131.2,130.2,130,1.2,0.2,0.92,0.15,yes
912,12,10,131.2,130.2,130,1.2,0.2,0.92,0.15,yes
988,88,10,123.9,1010.9,163,-39.1,847.9,-23.99,520.18,no
1112,12,12,131.2,128.8,130,1.2,-1.2,0.92,-0.92,yes
1312,12,14,131.2,126.4,130,1.2,-3.6,0.92,-2.77,yes
212,12,3,131.2,126,130,1.2,-4,0.92,-3.08,yes
992,92,10,135.3,137.5,147,-11.7,-9.5,-7.96,-6.46,no
1512,12,16,131.2,120.9,130,1.2,-9.1,0.92,-7,yes
2305,5,24,131.1,136.2,126,5.1,10.2,4.05,8.1,yes
1105,5,12,131.1,135.4,126,5.1,9.4,4.05,7.46,yes
705,5,8,131.1,134.2,126,5.1,8.2,4.05,6.51,yes
1005,5,11,131.1,133.8,126,5.1,7.8,4.05,6.19,yes
1305,5,14,131.1,133.3,126,5.1,7.3,4.05,5.79,yes
999,99,10,124.7,118.2,115,9.7,3.2,8.43,2.78,no
1000,100,10,123.7,122.6,123,0.7,-0.4,0.57,-0.33,no
1905,5,20,131.1,131.8,126,5.1,5.8,4.05,4.6,yes
1002,2,11,129.8,4960,125,4.8,4835,3.84,3868,no
605,5,7,131.1,131.1,126,5.1,5.1,4.05,4.05,yes
1405,5,15,131.1,131.1,126,5.1,5.1,4.05,4.05,yes
1705,5,18,131.1,131.1,126,5.1,5.1,4.05,4.05,yes
2105,5,22,131.1,131.1,126,5.1,5.1,4.05,4.05,yes
1805,5,19,131.1,130.9,126,5.1,4.9,4.05,3.89,yes
1008,8,11,125.6,124,120,5.6,4,4.67,3.33,no
1009,9,11,136.2,125.2,125,11.2,0.2,8.96,0.16,no
1010,10,11,122.5,117.6,115,7.5,2.6,6.52,2.26,no
1011,11,11,142.9,134,131,11.9,3,9.08,2.29,no
805,5,9,131.1,130.1,126,5.1,4.1,4.05,3.25,yes
905,5,10,131.1,130.1,126,5.1,4.1,4.05,3.25,yes
2205,5,23,131.1,128.9,126,5.1,2.9,4.05,2.3,yes
505,5,6,131.1,128.4,126,5.1,2.4,4.05,1.9,yes
1205,5,13,131.1,127.3,126,5.1,1.3,4.05,1.03,yes
1017,17,11,112.9,114.3,111,1.9,3.3,1.71,2.97,no
1605,5,17,131.1,127.3,126,5.1,1.3,4.05,1.03,yes
1019,19,11,135.8,141.1,140,-4.2,1.1,-3,0.79,no
1020,20,11,131.6,130.1,123,8.6,7.1,6.99,5.77,no
2405,5,25,131.1,127.1,126,5.1,1.1,4.05,0.87,yes
5,5,1,131.1,126.2,126,5.1,0.2,4.05,0.16,yes
105,5,2,131.1,126.1,126,5.1,0.1,4.05,0.08,yes
1024,24,11,120.1,114.8,109,11.1,5.8,10.18,5.32,no
305,5,4,131.1,124.3,126,5.1,-1.7,4.05,-1.35,yes
1505,5,16,131.1,121.8,126,5.1,-4.2,4.05,-3.33,yes
448,48,5,131,138.1,132,-1,6.1,-0.76,4.62,yes
1148,48,12,131,137.1,132,-1,5.1,-0.76,3.86,yes
848,48,9,131,136.2,132,-1,4.2,-0.76,3.18,yes
1030,30,11,121.9,112.8,118,3.9,-5.2,3.31,-4.41,no
1048,48,11,131,133.6,132,-1,1.6,-0.76,1.21,yes
48,48,1,131,131,132,-1,-1,-0.76,-0.76,yes
148,48,2,131,131,132,-1,-1,-0.76,-0.76,yes
1034,34,11,146.4,128.7,130,16.4,-1.3,12.62,-1,no
248,48,3,131,131,132,-1,-1,-0.76,-0.76,yes
348,48,4,131,131,132,-1,-1,-0.76,-0.76,yes
548,48,6,131,131,132,-1,-1,-0.76,-0.76,yes
1038,38,11,146,136.3,123,23,13.3,18.7,10.81,no
1039,39,11,129.2,124.3,120,9.2,4.3,7.67,3.58,no
1040,40,11,173.3,158.6,152,21.3,6.6,14.01,4.34,no
648,48,7,131,131,132,-1,-1,-0.76,-0.76,yes
1042,42,11,121.7,122.6,120,1.7,2.6,1.42,2.17,no
1043,43,11,117.2,113.4,112,5.2,1.4,4.64,1.25,no
1044,44,11,157.5,157.6,145,12.5,12.6,8.62,8.69,no
748,48,8,131,131,132,-1,-1,-0.76,-0.76,yes
1248,48,13,131,131,132,-1,-1,-0.76,-0.76,yes
1047,47,11,135.2,138.8,135,0.2,3.8,0.15,2.81,no
1348,48,14,131,131,132,-1,-1,-0.76,-0.76,yes
1448,48,15,131,131,132,-1,-1,-0.76,-0.76,yes
1050,50,11,122.2,121.1,120,2.2,1.1,1.83,0.92,no
1051,51,11,122.4,120.9,115,7.4,5.9,6.43,5.13,no
1648,48,17,131,131,132,-1,-1,-0.76,-0.76,yes
1748,48,18,131,131,132,-1,-1,-0.76,-0.76,yes
1054,54,11,138,129.5,130,8,-0.5,6.15,-0.38,no
1055,55,11,130.3,128.4,130,0.3,-1.6,0.23,-1.23,no
1848,48,19,131,131,132,-1,-1,-0.76,-0.76,yes
1057,57,11,130.3,126.9,115,15.3,11.9,13.3,10.35,no
1948,48,20,131,131,132,-1,-1,-0.76,-0.76,yes
2148,48,22,131,131,132,-1,-1,-0.76,-0.76,yes
2248,48,23,131,131,132,-1,-1,-0.76,-0.76,yes
1061,61,11,133.7,131,125,8.7,6,6.96,4.8,no
1062,62,11,122.4,129.3,126,-3.6,3.3,-2.86,2.62,no
1063,63,11,127.9,115.6,115,12.9,0.6,11.22,0.52,no
1064,64,11,121.8,118.1,130,-8.2,-11.9,-6.31,-9.15,no
2348,48,24,131,131,132,-1,-1,-0.76,-0.76,yes
2448,48,25,131,131,132,-1,-1,-0.76,-0.76,yes
1548,48,16,131,123.1,132,-1,-8.9,-0.76,-6.74,yes
1068,68,11,103.8,108.6,105,-1.2,3.6,-1.14,3.43,no
1069,69,11,523.6,116.7,120,403.6,-3.3,336.33,-2.75,no
18,18,1,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1071,71,11,151.1,162.8,147,4.1,15.8,2.79,10.75,no
1072,72,11,205.9,145.7,147,58.9,-1.3,40.07,-0.88,no
1073,73,11,280.5,145.4,137,143.5,8.4,104.74,6.13,no
1074,74,11,229.3,142.2,146,83.3,-3.8,57.05,-2.6,no
1075,75,11,146.6,115.5,110,36.6,5.5,33.27,5,no
1076,76,11,153.7,153.7,126,27.7,27.7,21.98,21.98,no
1077,77,11,677.7,124.7,155,522.7,-30.3,337.23,-19.55,no
1078,78,11,148.6,127.5,128,20.6,-0.5,16.09,-0.39,no
1079,79,11,139.1,133.2,129,10.1,4.2,7.83,3.26,no
118,18,2,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1081,81,11,195.4,131.8,120,75.4,11.8,62.83,9.83,no
1082,82,11,165,183.5,165,0,18.5,0,11.21,no
1083,83,11,750.4,138.9,130,620.4,8.9,477.23,6.85,no
218,18,3,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
318,18,4,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
418,18,5,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
518,18,6,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1088,88,11,123.9,125.6,163,-39.1,-37.4,-23.99,-22.94,no
1089,89,11,554.3,125.1,120,434.3,5.1,361.92,4.25,no
1090,90,11,1319.8,160.6,156,1163.8,4.6,746.03,2.95,no
618,18,7,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1092,92,11,135.3,132.4,147,-11.7,-14.6,-7.96,-9.93,no
1093,93,11,139,143.2,137,2,6.2,1.46,4.53,no
718,18,8,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1095,95,11,558.3,558.3,128,430.3,430.3,336.17,336.17,no
1096,96,11,128.2,125.7,125,3.2,0.7,2.56,0.56,no
1018,18,11,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1318,18,14,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1099,99,11,124.7,115.3,115,9.7,0.3,8.43,0.26,no
1418,18,15,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1818,18,19,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1102,2,12,129.8,122.5,125,4.8,-2.5,3.84,-2,no
1918,18,20,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
2018,18,21,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
2118,18,22,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
2218,18,23,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
2318,18,24,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
2418,18,25,130.7,130.7,114,16.7,16.7,14.65,14.65,yes
1109,9,12,136.2,130.5,125,11.2,5.5,8.96,4.4,no
1110,10,12,122.5,112.7,115,7.5,-2.3,6.52,-2,no
1111,11,12,142.9,133.2,131,11.9,2.2,9.08,1.68,no
1118,18,12,130.7,128.3,114,16.7,14.3,14.65,12.54,yes
1718,18,18,130.7,126.9,114,16.7,12.9,14.65,11.32,yes
1218,18,13,130.7,126,114,16.7,12,14.65,10.53,yes
1618,18,17,130.7,126,114,16.7,12,14.65,10.53,yes
818,18,9,130.7,112.9,114,16.7,-1.1,14.65,-0.96,yes
918,18,10,130.7,112.9,114,16.7,-1.1,14.65,-0.96,yes
1518,18,16,130.7,111.8,114,16.7,-2.2,14.65,-1.93,yes
855,55,9,130.3,136.8,130,0.3,6.8,0.23,5.23,yes
1120,20,12,131.6,132.9,123,8.6,9.9,6.99,8.05,no
1855,55,19,130.3,131.7,130,0.3,1.7,0.23,1.31,yes
755,55,8,130.3,128.9,130,0.3,-1.1,0.23,-0.85,yes
1355,55,14,130.3,128.9,130,0.3,-1.1,0.23,-0.85,yes
1124,24,12,120.1,111.7,109,11.1,2.7,10.18,2.48,no
355,55,4,130.3,125.2,130,0.3,-4.8,0.23,-3.69,yes
1126,26,12,123.6,115.4,124,-0.4,-8.6,-0.32,-6.94,no
655,55,7,130.3,125.1,130,0.3,-4.9,0.23,-3.77,yes
1128,28,12,135.8,131.3,134,1.8,-2.7,1.34,-2.01,no
857,57,9,130.3,130,115,15.3,15,13.3,13.04,yes
1130,30,12,121.9,114.7,118,3.9,-3.3,3.31,-2.8,no
957,57,10,130.3,129.6,115,15.3,14.6,13.3,12.7,yes
757,57,8,130.3,129.5,115,15.3,14.5,13.3,12.61,yes
1857,57,19,130.3,129,115,15.3,14,13.3,12.17,yes
1134,34,12,146.4,128.1,130,16.4,-1.9,12.62,-1.46,no
1135,35,12,136.2,136.7,125,11.2,11.7,8.96,9.36,no
2257,57,23,130.3,123.7,115,15.3,8.7,13.3,7.57,yes
1357,57,14,130.3,122.5,115,15.3,7.5,13.3,6.52,yes
1138,38,12,146,128.5,123,23,5.5,18.7,4.47,no
1139,39,12,129.2,125.2,120,9.2,5.2,7.67,4.33,no
657,57,7,130.3,119.4,115,15.3,4.4,13.3,3.83,yes
357,57,4,130.3,117.7,115,15.3,2.7,13.3,2.35,yes
802,2,9,129.8,128.9,125,4.8,3.9,3.84,3.12,yes
1143,43,12,117.2,112.5,112,5.2,0.5,4.64,0.45,no
702,2,8,129.8,127.2,125,4.8,2.2,3.84,1.76,yes
602,2,7,129.8,121.2,125,4.8,-3.8,3.84,-3.04,yes
302,2,4,129.8,120.6,125,4.8,-4.4,3.84,-3.52,yes
739,39,8,129.2,126.7,120,9.2,6.7,7.67,5.58,yes
1339,39,14,129.2,120.8,120,9.2,0.8,7.67,0.67,yes
339,39,4,129.2,120.5,120,9.2,0.5,7.67,0.42,yes
1858,58,19,128.7,133,125,3.7,8,2.96,6.4,yes
1151,51,12,122.4,117.9,115,7.4,2.9,6.43,2.52,no
2358,58,24,128.7,133,125,3.7,8,2.96,6.4,yes
858,58,9,128.7,129.2,125,3.7,4.2,2.96,3.36,yes
1154,54,12,138,139.3,130,8,9.3,6.15,7.15,no
1155,55,12,130.3,127.7,130,0.3,-2.3,0.23,-1.77,no
758,58,8,128.7,128.7,125,3.7,3.7,2.96,2.96,yes
1157,57,12,130.3,123.2,115,15.3,8.2,13.3,7.13,no
1758,58,18,128.7,128.7,125,3.7,3.7,2.96,2.96,yes
2158,58,22,128.7,128.7,125,3.7,3.7,2.96,2.96,yes
1358,58,14,128.7,127.7,125,3.7,2.7,2.96,2.16,yes
1161,61,12,133.7,125.8,125,8.7,0.8,6.96,0.64,no
1162,62,12,122.4,125.7,126,-3.6,-0.3,-2.86,-0.24,no
1163,63,12,127.9,119.4,115,12.9,4.4,11.22,3.83,no
1058,58,11,128.7,127.5,125,3.7,2.5,2.96,2,yes
1158,58,12,128.7,127.2,125,3.7,2.2,2.96,1.76,yes
158,58,2,128.7,126.5,125,3.7,1.5,2.96,1.2,yes
2258,58,23,128.7,126.3,125,3.7,1.3,2.96,1.04,yes
2058,58,21,128.7,125.7,125,3.7,0.7,2.96,0.56,yes
1169,69,12,523.6,121.3,120,403.6,1.3,336.33,1.08,no
358,58,4,128.7,123.9,125,3.7,-1.1,2.96,-0.88,yes
1171,71,12,151.1,155.1,147,4.1,8.1,2.79,5.51,no
1172,72,12,205.9,143.6,147,58.9,-3.4,40.07,-2.31,no
1173,73,12,280.5,136.4,137,143.5,-0.6,104.74,-0.44,no
1174,74,12,229.3,134,146,83.3,-12,57.05,-8.22,no
1175,75,12,146.6,123,110,36.6,13,33.27,11.82,no
1176,76,12,153.7,235.5,126,27.7,109.5,21.98,86.9,no
1177,77,12,677.7,119.7,155,522.7,-35.3,337.23,-22.77,no
1178,78,12,148.6,140.2,128,20.6,12.2,16.09,9.53,no
1179,79,12,139.1,128.5,129,10.1,-0.5,7.83,-0.39,no
1180,80,12,152.6,123.3,128,24.6,-4.7,19.22,-3.67,no
1181,81,12,195.4,120.7,120,75.4,0.7,62.83,0.58,no
